Event,Gold,Silver,Bronze,Sport,Event
"10,000 metres",Sifan Hassan,Kalkidan Gezahegne,Letesenbet Gidey,Athletics,"Athletics Women's 10,000 metres"
100 metres hurdles,Jasmine Camacho-Quinn,Kendra Harrison,Megan Tapper,Athletics,Athletics Women's 100 metres hurdles
400 metres hurdles,Sydney McLaughlin,Dalilah Muhammad,Femke Bol,Athletics,Athletics Women's 400 metres hurdles
3000 metres steeplechase,Peruth Chemutai,Courtney Frerichs,Hyvin Jepkemoi,Athletics,Athletics Women's 3000 metres steeplechase
4 _ 100 metres relay,Briana Williams,Javianne Oliver,Asha Philip,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 100 metres relay,Elaine Thompson-Herah,Teahna Daniels,Imani-Lara Lansiquot,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 100 metres relay,Shelly-Ann Fraser-Pryce,Jenna Prandini,Dina Asher-Smith,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 100 metres relay,Shericka Jackson,Gabrielle Thomas,Daryll Neita,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 100 metres relay,Natasha Morrison,English Gardner,,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 100 metres relay,Remona Burchell,Aleia Hobbs,,Athletics,Athletics Women's 4 _ 100 metres relay
4 _ 400 metres relay,Sydney McLaughlin,Natalia Kaczmarek,Roneisha McGregor,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Allyson Felix,Iga Baumgart-Witan,Janieve Russell,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Dalilah Muhammad,Ma_gorzata Ho_ub-Kowalik,Shericka Jackson,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Athing Mu,Justyna _wi_ty-Ersetic,Candice McLeod,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Kendall Ellis,Anna Kie_basi_ska,Junelle Bromfield,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Lynna Irby,,Stacey-Ann Williams,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Wadeline Jonathas,,,Athletics,Athletics Women's 4 _ 400 metres relay
4 _ 400 metres relay,Kaylin Whitney,,,Athletics,Athletics Women's 4 _ 400 metres relay
Marathon,Peres Jepchirchir,Brigid Kosgei,Molly Seidel,Athletics,Athletics Women's Marathon
20 kilometres walk,Antonella Palmisano,Sandra Arenas,Liu Hong,Athletics,Athletics Women's 20 kilometres walk
High jump,Mariya Lasitskene,Nicola McDermott,Yaroslava Mahuchikh,Athletics,Athletics Women's High jump
Pole vault,Katie Nageotte,Anzhelika Sidorova,Holly Bradshaw,Athletics,Athletics Women's Pole vault
Long jump,Malaika Mihambo,Brittney Reese,Ese Brume,Athletics,Athletics Women's Long jump
Triple jump,Yulimar Rojas,Patrícia Mamona,Ana Peleteiro,Athletics,Athletics Women's Triple jump
Shot put,Gong Lijiao,Raven Saunders,Valerie Adams,Athletics,Athletics Women's Shot put
Discus throw,Valarie Allman,Kristin Pudenz,Yaime Pérez,Athletics,Athletics Women's Discus throw
Hammer throw,Anita W_odarczyk,Wang Zheng,Malwina Kopron,Athletics,Athletics Women's Hammer throw
Javelin throw,Liu Shiying,Maria Andrejczyk,Kelsey-Lee Barber,Athletics,Athletics Women's Javelin throw
Heptathlon,Nafissatou Thiam,Anouk Vetter,Emma Oosterwegel,Athletics,Athletics Women's Heptathlon
